kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,genus,tribe,query_tsn_ITIS,ID,level,count,count_percentoftotal
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Odonata,Anisoptera,NA,NA,Aeshnidae,NA,Aeshna,NA,101603,Aeshna,genus,2,5.225411174541797e-4
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Systellognatha,NA,NA,Chloroperlidae,Chloroperlinae,Alloperla,NA,103203,Alloperla,genus,179,0.04676743001214908
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Pisciforma,NA,NA,Ameletidae,NA,Ameletus,NA,100996,Ameletus,genus,789.9999999999999,0.20640374139440096
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Euholognatha,NA,NA,Nemouridae,Amphinemurinae,Amphinemura,NA,102540,Amphinemura,genus,1823,0.4762962285594848
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Tipulomorpha,NA,Tipulidae,Limoniinae,Antocha,Limoniini,119656,Antocha,genus,44.99999999999999,0.011757175142719041
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Pisciforma,NA,NA,Baetidae,NA,Baetis,NA,100800,Baetis,genus,14416,3.766476374609727
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Odonata,Anisoptera,NA,NA,Aeshnidae,NA,Boyeria,NA,101645,Boyeria,genus,1,2.6127055872708985e-4
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Pisciforma,NA,NA,Baetidae,NA,Centroptilum,NA,100873,Centroptilum,genus,1,2.6127055872708985e-4
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Ceratopogonidae,NA,NA,NA,127076,Ceratopogonidae,family,11612,3.033873727938967
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Empididae,Hemerodromiinae,Chelifera,Hemerodromiini,136305,Chelifera,genus,934,0.2440267018511019
