catchment,year,replicate,position,date_in,date_out,daysout_number,initialmass_g,massloss_g
100,2001,1,surface,2001-05-31,2001-07-09,39,0.1625,0.0606
100,2001,2,surface,2001-05-31,2001-07-09,39,0.1727,0.0669
100,2001,3,surface,2001-05-31,2001-07-09,39,0.2418,0.1221
100,2001,4,surface,2001-05-31,2001-07-09,39,0.1627,0.0622
100,2001,5,surface,2001-05-31,2001-07-09,39,0.1873,0.0489
100,2001,1,surface,2001-05-31,2001-06-20,20,0.213,0.0254
100,2001,2,surface,2001-05-31,2001-06-20,20,0.1249,0.0225
100,2001,3,surface,2001-05-31,2001-06-20,20,0.218,0.0604
100,2001,4,surface,2001-05-31,2001-06-20,20,0.1603,0.0215
100,2001,5,surface,2001-05-31,2001-06-20,20,0.1363,0.0099
100,2001,1,surface,2001-09-20,2001-10-16,26,0.1497,0.0341
100,2001,2,surface,2001-09-20,2001-10-16,26,0.1449,0.0303
100,2001,3,surface,2001-09-20,2001-10-16,26,0.1406,0.0290
100,2001,4,surface,2001-09-20,2001-10-16,26,0.1645,0.0308
100,2001,5,surface,2001-09-20,2001-10-16,26,0.1455,0.0280
101,2001,1,surface,2001-05-31,2001-07-09,39,0.1801,0.0439
101,2001,2,surface,2001-05-31,2001-07-09,39,0.1729,0.0598
101,2001,3,surface,2001-05-31,2001-07-09,39,0.1997,0.0560
101,2001,4,surface,2001-05-31,2001-07-09,39,0.1406,0.0381
101,2001,5,surface,2001-05-31,2001-07-09,39,0.1696,0.0474
101,2001,1,surface,2001-05-31,2001-06-20,20,0.1377,0.0096
101,2001,2,surface,2001-05-31,2001-06-20,20,0.1765,0.0142
101,2001,3,surface,2001-05-31,2001-06-20,20,0.1786,0.0089
101,2001,4,surface,2001-05-31,2001-06-20,20,0.1288,0.0169
101,2001,5,surface,2001-05-31,2001-06-20,20,0.1851,0.0219
101,2001,1,surface,2001-09-20,2001-10-16,26,0.1644,0.0382
101,2001,2,surface,2001-09-20,2001-10-16,26,0.1605,0.0349
101,2001,3,surface,2001-09-20,2001-10-16,26,0.1599,0.0261
101,2001,4,surface,2001-09-20,2001-10-16,26,0.1535,0.0296
101,2001,5,surface,2001-09-20,2001-10-16,26,0.1382,0.0281
102,2001,1,surface,2001-05-31,2001-07-09,39,0.1342,0.0580
102,2001,2,surface,2001-05-31,2001-07-09,39,0.1793,0.0692
102,2001,3,surface,2001-05-31,2001-07-09,39,0.163,0.0767
102,2001,4,surface,2001-05-31,2001-07-09,39,0.1811,0.0646
102,2001,1,surface,2001-05-31,2001-06-20,20,0.1762,0.0249
