catchment,year,month,core_number,substrate_type,inorganic_g,organic_g,inorganic_gperm2,organic_gperm2,totalsediment_gperm2
33,1995,june,1,fine,0.4936,1.3513000000000002,19.744,54.05200000000001,73.796
33,1995,june,1,coarse,0.04900000000000015,0.7788,1.9600000000000057,31.151999999999997,33.112
33,1995,june,1,very fine,8.283999999999999,5.33520000000002,331.35999999999996,213.4080000000008,544.7680000000007
33,1995,june,2,fine,2.0568,0.9368999999999997,82.27199999999999,37.475999999999985,119.74799999999998
33,1995,june,2,coarse,0.07899999999999995,0.4453,3.1599999999999975,17.812,20.971999999999998
33,1995,june,2,very fine,12.296800000000028,6.140799999999999,491.8720000000011,245.63199999999995,737.504000000001
33,1995,june,3,fine,0.8677,0.8174000000000001,34.708,32.696000000000005,67.404
33,1995,june,3,coarse,0.09960000000000012,0.2678999999999998,3.9840000000000044,10.715999999999992,14.699999999999996
33,1995,june,3,very fine,9.454400000000003,5.061600000000016,378.1760000000001,202.46400000000065,580.6400000000008
33,1995,june,4,fine,0.23109999999999983,0.48780000000000023,9.243999999999993,19.512000000000008,28.756
33,1995,june,4,coarse,0.08040000000000001,0.5690999999999997,3.216,22.76399999999999,25.97999999999999
33,1995,june,4,very fine,2.416800000000004,1.74800000000001,96.67200000000015,69.9200000000004,166.59200000000055
33,1995,june,5,fine,3.2743999999999995,1.630100000000001,130.97599999999997,65.20400000000004,196.18
33,1995,june,5,coarse,0.4564999999999999,0.6460000000000004,18.259999999999994,25.840000000000018,44.10000000000001
33,1995,june,5,very fine,8.876800000000001,5.91279999999999,355.072,236.5119999999996,591.5839999999996
33,1995,june,6,fine,0.6406000000000001,0.6044,25.624000000000002,24.176,49.8
33,1995,june,6,coarse,0.2084999999999999,0.6852,8.339999999999996,27.408,35.748
33,1995,june,6,very fine,5.12240000000001,2.5839999999999854,204.89600000000038,103.35999999999942,308.2559999999998
33,1995,june,7,fine,0.4566000000000002,0.7283,18.264000000000006,29.132,47.39600000000001
33,1995,june,7,coarse,0.2469999999999999,0.5711000000000002,9.879999999999995,22.84400000000001,32.724000000000004
33,1995,june,7,very fine,4.985599999999991,3.146399999999991,199.42399999999964,125.85599999999964,325.2799999999993
33,1995,june,8,fine,0.16169999999999995,0.3252999999999999,6.467999999999998,13.011999999999995,19.479999999999993
33,1995,june,8,coarse,0.01750000000000007,0.2367999999999999,0.7000000000000028,9.471999999999996,10.171999999999999
33,1995,june,8,very fine,3.1159999999999943,1.9151999999999916,124.63999999999977,76.60799999999966,201.24799999999942
33,1995,june,9,fine,0.2964,0.5508000000000002,11.856,22.032000000000007,33.888000000000005
33,1995,june,9,coarse,0.05869999999999997,0.5152000000000001,2.3479999999999985,20.608000000000004,22.956000000000003
33,1995,june,9,very fine,4.012799999999997,2.660000000000011,160.51199999999986,106.40000000000045,266.9120000000003
33,1995,june,10,fine,0.18680000000000008,0.5964999999999998,7.472000000000003,23.859999999999992,31.331999999999994
33,1995,june,10,coarse,0.0342,0.4076,1.3679999999999999,16.304,17.671999999999997
