catchment,year,month,distance_m,width_m,rockyoutcrop_percent,boulder_percent,rubble_percent,gravel_percent,detritus_percent,sandsilt_percent,woodbarrier_count,rockbarrier_count,smallbranches_count,largebranches_count,totalbranches_count,trees_count,largeleafpack_count,smallleafpack_count,run_percent,riffle_percent,pool_percent,plungepool_percent,falls_percent,deciduous_percent,coniferous_percent,canopyarea_percent,slope,depth1_cm,depth2_cm,depth3_cm,depth4_cm,depth5_cm
31,1996,august,10,0.9,0,0,0,0,80,20,1,0,NA,0,17,3,7,2,5,15,80,0,0,95,5,100,low,NA,NA,NA,NA,NA
31,1996,august,20,1.8,0,0,0,0,40,60,0,0,NA,0,12,2,2,4,12,8,80,0,0,NA,NA,60,low,NA,NA,NA,NA,NA
31,1996,august,30,1.3,0,0,0,5,45,50,0,0,NA,3,16,3,4,5,20,10,70,0,0,95,5,95,low,NA,NA,NA,NA,NA
31,1996,august,40,1.5,0,5,0,5,50,40,0,0,NA,2,16,2,2,5,10,30,55,0,5,100,0,80,low,NA,NA,NA,NA,NA
31,1996,august,50,0.9,0,5,5,75,5,10,1,0,NA,0,5,2,0,2,0,100,0,0,0,80,20,70,low,NA,NA,NA,NA,NA
31,1996,august,60,0.7,0,0,10,60,30,0,0,0,NA,0,13,1,2,4,0,70,30,0,0,95,5,90,low,NA,NA,NA,NA,NA
31,1996,august,70,1.1,0,50,40,10,0,0,0,0,NA,0,28,1,5,7,0,95,5,0,0,100,0,100,steep,NA,NA,NA,NA,NA
31,1996,august,80,1.4,0,30,50,20,0,0,0,0,NA,0,22,2,0,9,0,100,0,0,0,100,0,100,steep,NA,NA,NA,NA,NA
31,1996,august,90,1,0,50,10,0,40,0,2,0,NA,3,10,3,2,3,0,60,30,0,10,95,5,90,moderate,NA,NA,NA,NA,NA
31,1996,august,100,0.7,0,60,40,0,0,0,0,0,NA,0,53,1,7,2,0,95,5,0,0,85,15,100,steep,NA,NA,NA,NA,NA
31,1996,august,110,0.8,60,20,15,0,5,0,2,0,NA,3,18,3,2,1,0,85,10,0,5,60,40,100,moderate,NA,NA,NA,NA,NA
31,1996,august,120,1.4,0,60,35,0,5,0,1,0,NA,1,15,1,3,2,0,80,20,0,0,100,0,100,moderate,NA,NA,NA,NA,NA
31,1996,august,130,1.2,0,30,60,0,10,0,2,0,NA,0,42,1,4,3,0,70,30,0,0,100,0,100,moderate,NA,NA,NA,NA,NA
31,1996,august,140,1.4,0,20,40,0,30,10,2,0,NA,0,16,2,3,2,0,90,0,0,10,100,0,50,low,NA,NA,NA,NA,NA
31,1996,august,150,1.2,0,30,60,10,0,0,1,0,NA,3,18,3,1,4,0,95,5,0,0,100,0,100,low,NA,NA,NA,NA,NA
31,1996,august,160,0.7,0,20,30,0,10,40,3,1,NA,0,15,1,2,3,0,55,40,0,5,100,0,100,low,NA,NA,NA,NA,NA
31,1996,august,170,0.7,0,20,5,0,75,0,2,0,NA,0,17,2,4,0,0,40,60,0,0,100,0,100,moderate,NA,NA,NA,NA,NA
31,1996,august,180,0.7,80,10,10,0,0,0,1,0,NA,0,14,2,3,1,0,100,0,0,0,100,0,100,low,NA,NA,NA,NA,NA
31,1996,august,190,1.1,0,0,10,0,90,0,1,0,NA,0,25,2,2,3,0,90,10,0,0,100,0,100,low,NA,NA,NA,NA,NA
31,1996,august,200,0.7,70,15,10,0,5,0,2,0,NA,1,17,1,4,4,0,90,8,0,2,100,0,100,low,NA,NA,NA,NA,NA
31,1996,august,210,0.95,45,35,20,0,0,0,0,0,NA,0,35,0,9,1,0,100,0,0,0,100,0,100,low,NA,NA,NA,NA,NA
31,1996,august,220,1.3,85,0,5,0,0,10,0,0,NA,0,33,2,4,2,0,85,15,0,0,100,0,100,low,NA,NA,NA,NA,NA
31,1996,august,230,1,0,10,0,0,40,50,2,0,NA,0,16,0,2,1,0,40,60,0,0,100,0,100,low,NA,NA,NA,NA,NA
31,1996,august,240,1.3,0,0,0,0,80,20,4,0,NA,0,8,0,0,0,0,20,80,0,0,100,0,100,low,NA,NA,NA,NA,NA
31,1996,august,250,0.85,0,0,10,0,90,0,1,0,NA,0,18,3,5,1,10,30,60,0,0,100,0,100,low,NA,NA,NA,NA,NA
31,1996,august,260,0.7,30,0,40,0,0,30,1,0,NA,1,20,1,0,4,0,100,0,0,0,100,0,100,low,NA,NA,NA,NA,NA
31,1996,august,270,0.7,NA,NA,NA,NA,NA,NA,2,0,NA,0,29,1,2,0,0,100,0,0,0,100,0,100,low,NA,NA,NA,NA,NA
31,1996,august,280,0.8,0,30,40,20,10,0,0,0,NA,0,4,1,1,2,0,80,20,0,0,100,0,80,NA,NA,NA,NA,NA,NA
31,1996,august,290,1,0,5,0,0,95,0,0,0,NA,3,7,3,0,1,0,5,95,0,0,95,5,100,low,NA,NA,NA,NA,NA
31,1996,august,300,0.9,0,1,2,0,97,0,0,0,NA,0,12,2,1,0,0,3,97,0,0,85,15,100,low,NA,NA,NA,NA,NA
31,1997,july,10,0.8,NA,NA,NA,NA,100,NA,1,NA,NA,NA,27,1,20,NA,70,NA,20,5,5,80,20,90,low,NA,NA,NA,NA,NA
31,1997,july,20,2.1,0,0,0,0,100,0,1,0,NA,NA,27,0,4,1,70,0,30,0,0,50,50,40,low,NA,NA,NA,NA,NA
31,1997,july,30,1.2,0,0,0,0,90,10,1,0,NA,NA,38,0,9,0,75,0,15,5,5,90,10,95,moderate,NA,NA,NA,NA,NA
31,1997,july,40,1.5,0,0,5,10,75,10,1,0,NA,NA,12,1,0,1,95,0,5,0,0,95,5,80,moderate,NA,NA,NA,NA,NA
31,1997,july,50,0.8,0,5,5,40,50,0,1,0,NA,NA,5,1,1,0,100,0,0,0,0,90,10,75,moderate,NA,NA,NA,NA,NA
31,1997,july,60,2.5,0,0,20,50,30,0,0,0,NA,NA,15,0,1,0,75,25,0,0,0,95,5,95,moderate,NA,NA,NA,NA,NA
