"year","species","treatment","replicate","abundance"
1995,"Alloperla","control",1,0
1995,"Alloperla","control",2,0
1995,"Alloperla","control",3,4
1995,"Alloperla","control",4,3
1995,"Alloperla","control",5,3
1995,"Alloperla","control",6,3
1995,"Alloperla","control",7,0
1995,"Alloperla","control",8,0
1995,"Alloperla","control",9,1
1995,"Alloperla","control",10,0
1995,"Alloperla","medium",1,2
1995,"Alloperla","medium",2,6
1995,"Alloperla","medium",3,0
1995,"Alloperla","medium",4,2
1995,"Alloperla","medium",5,6
1995,"Alloperla","medium",6,3
1995,"Alloperla","medium",7,4
1995,"Alloperla","medium",8,1
1995,"Alloperla","medium",9,2
1995,"Alloperla","medium",10,4
1995,"Amphinemura","control",1,34
1995,"Amphinemura","control",2,0
1995,"Amphinemura","control",3,33
1995,"Amphinemura","control",4,34
1995,"Amphinemura","control",5,18
1995,"Amphinemura","control",6,3
1995,"Amphinemura","control",7,18
1995,"Amphinemura","control",8,2
1995,"Amphinemura","control",9,46
1995,"Amphinemura","control",10,24
1995,"Amphinemura","high",1,9
1995,"Amphinemura","high",2,24
1995,"Amphinemura","high",3,53
1995,"Amphinemura","high",4,15
1995,"Amphinemura","high",5,59
1995,"Amphinemura","high",6,37
1995,"Amphinemura","high",7,92
1995,"Amphinemura","high",8,89
1995,"Amphinemura","high",9,28
1995,"Amphinemura","high",10,44
1995,"Amphinemura","low",1,0
1995,"Amphinemura","low",2,0
1995,"Amphinemura","low",3,0
1995,"Amphinemura","low",4,0
1995,"Amphinemura","low",5,0
1995,"Amphinemura","low",6,1
1995,"Amphinemura","low",7,1
1995,"Amphinemura","low",8,0
1995,"Amphinemura","low",9,0
1995,"Amphinemura","low",10,0
1995,"Amphinemura","medium",1,86
1995,"Amphinemura","medium",2,242
1995,"Amphinemura","medium",3,73
1995,"Amphinemura","medium",4,60
1995,"Amphinemura","medium",5,104
1995,"Amphinemura","medium",6,96
1995,"Amphinemura","medium",7,64
1995,"Amphinemura","medium",8,70
1995,"Amphinemura","medium",9,43
1995,"Amphinemura","medium",10,8
1995,"Baetis","control",1,51
1995,"Baetis","control",2,49
1995,"Baetis","control",3,97
1995,"Baetis","control",4,105
1995,"Baetis","control",5,99
1995,"Baetis","control",6,47
1995,"Baetis","control",7,38
1995,"Baetis","control",8,28
1995,"Baetis","control",9,203
1995,"Baetis","control",10,32
1995,"Baetis","high",1,135
1995,"Baetis","high",2,124
1995,"Baetis","high",3,93
1995,"Baetis","high",4,90
1995,"Baetis","high",5,157
1995,"Baetis","high",6,40
1995,"Baetis","high",7,166
1995,"Baetis","high",8,139
1995,"Baetis","high",9,60
1995,"Baetis","high",10,89
1995,"Baetis","low",1,8
1995,"Baetis","low",2,5
1995,"Baetis","low",3,10
1995,"Baetis","low",4,9
1995,"Baetis","low",5,2
1995,"Baetis","low",6,7
1995,"Baetis","low",7,8
1995,"Baetis","low",8,8
1995,"Baetis","low",9,21
1995,"Baetis","low",10,12
1995,"Baetis","medium",1,91
1995,"Baetis","medium",2,161
1995,"Baetis","medium",3,56
1995,"Baetis","medium",4,83
1995,"Baetis","medium",5,305
1995,"Baetis","medium",6,249
1995,"Baetis","medium",7,253
1995,"Baetis","medium",8,93
1995,"Baetis","medium",9,88
1995,"Baetis","medium",10,178
1995,"Ceratopogonidae","control",1,4
1995,"Ceratopogonidae","control",2,14
1995,"Ceratopogonidae","control",3,3
1995,"Ceratopogonidae","control",4,2
1995,"Ceratopogonidae","control",5,13
1995,"Ceratopogonidae","control",6,8
1995,"Ceratopogonidae","control",7,4
1995,"Ceratopogonidae","control",8,2
1995,"Ceratopogonidae","control",9,10
1995,"Ceratopogonidae","control",10,0
1995,"Ceratopogonidae","high",1,0
1995,"Ceratopogonidae","high",2,1
1995,"Ceratopogonidae","high",3,2
1995,"Ceratopogonidae","high",4,2
1995,"Ceratopogonidae","high",5,10
1995,"Ceratopogonidae","high",6,32
1995,"Ceratopogonidae","high",7,10
1995,"Ceratopogonidae","high",8,5
1995,"Ceratopogonidae","high",9,8
1995,"Ceratopogonidae","high",10,8
1995,"Ceratopogonidae","low",1,6
1995,"Ceratopogonidae","low",2,20
1995,"Ceratopogonidae","low",3,0
1995,"Ceratopogonidae","low",4,6
1995,"Ceratopogonidae","low",5,2
