Metadata Name/Nom de métadonnées,Étude de la réaction des invertébrés benthiques des cours d’eau à la récolte des arbres : Étude du bassin versant des lacs Turkey,,,
Noms des fichiers,TLW_invertebrateClassification.csv;TLW_invertebrateDensity.csv;TLW_leafdiskDecomposition.csv;TLW_leafpackDecomposition.csv;TLW_litterTraps.csv;TLW_litterBlowInTraps.csv;TLW_sedimentCores.csv;TLW_sedimentRings.csv;TLW_sedimentTubes.csv;TLW_streamHabitatSurveys.csv,,,
Fichiers de données générés,2021-10-13,,,
Contenu des fichiers,"L’étude du bassin des lacs Turkey (BLT) a été établie en 1979 par plusieurs ministères du gouvernement fédéral (Ressources naturelles Canada, Environnement et Changement climatique Canada, et Pêches et Océans Canada) pour étudier les répercussions des pluies acides sur les écosystèmes aquatiques et forestiers, mais elle s’est depuis étendue pour inclure d’autres recherches sur les contaminants toxiques, l’exploitation forestière, la modification de l’habitat et le changement climatique. Le BLT est une forêt mixte de feuillus d’une superficie de 10,5 km carrés dans le Bouclier canadien qui se déverse dans le lac Supérieur. Il a fait l’objet de nombreuses études interdisciplinaires portant sur des écosystèmes entiers et sur des questions environnementales. 
Les invertébrés benthiques, ou insectes que l’on trouve au fond des plans d’eau, peuvent être des indicateurs clés de la santé des cours d’eau et jouent un rôle important dans le cycle des nutriments et la chaîne alimentaire. En 1995, un projet du BLT visait à évaluer la réaction des écosystèmes des cours d’eau à la récolte des arbres, ce qui supposait des études à long terme des communautés d’invertébrés benthiques avant et après la récolte. Trois bassins versants (c31, c33, c34) ont été soumis à la coupe à différentes intensités au cours de l’été 1997 et ont été comparés à plusieurs bassins non perturbés. Parallèlement aux données sur les invertébrés, des données provenant d’études connexes sur l’habitat des cours d’eau et des bacs à litière en bordure de cours d’eau, ainsi que des données sur la décomposition des feuilles, le dépôt de particules dans les cours d’eau et les sédiments stagnants de la charge de fond ont été recueillies au cours de la même période. Les données ont été recueillies de 1995 à 2009 par des chercheurs du Service canadien des forêts (Centre de foresterie des Grands Lacs).
Cet ensemble de données est une ressource rare et précieuse car il existe très peu d’ensembles de données à long terme sur les invertébrés benthiques provenant des mêmes endroits, et parce que cet ensemble de données est intégré à d’autres ensembles de données biologiques et chimiques dans la base de données plus large du BLT stockée dans le répertoire de données du gouvernement ouvert. Pour un aperçu des autres types de données disponibles sur le BLT, voir https://doi.org/10.1002/hyp.14109, et pour une liste complète des publications qui ont été produites à partir des données recueillies sur ce site, voir Étude du bassin des lacs Turkey : publications 
",,,
Nom de l’organisme,"Ressources naturelles Canada; Service canadien des forêts; Centre de foresterie des Grands Lacs; 1219, rue Queen Est, Sault Ste. Marie (Ont.) P6A 2E5",,,
Programme,Améliorer les pratiques de gestion durable des forêts,,,
Chercheur principal,"Erik Emilson; chercheur scientifique; Écologie aquatique des forêts; Ressources naturelles Canada; Centre de foresterie des Grands Lacs, 1219, rue Queen Est, Sault Ste. Marie (Ont.) P6A 2E5 705 541-5646; erik.emilson@NRCan-RNCan.gc.ca",,,
Citation recommandée,Erik Emilson. 2021. Fichier de données : [nom du fichier].csv; numéro de version 1; généré le 2021-10-13. DOI : (pas encore disponible). Consulté [AAAA-MM-JJ] auprès du gouvernement du Canada Federal Geospatial Platform at gcgeo.gc.ca/en/,,,
Énoncé de remerciement,L’auteur remercie Ressources naturelles Canada d’avoir fourni : [nom du fichier].csv; consulté à partir de la plateforme géospatiale fédérale du Canada.,,,
Responsable des données,"Stephanie Nelson; biologiste des écosystèmes; Écologie forestière; Centre de foresterie des Grands Lacs; 1219, rue Queen Est, Sault Ste. Marie (Ont.) P6A 2E5; 705 541-5612; stephanie.nelson@canada.ca",,,
Niveau d’assurance de la qualité et déni de responsabilité,Niveau 1 – un ensemble complet de données de qualité spécifiée qui consiste en des produits de recherche soumis à des contrôles d’assurance et de contrôle de la qualité et à des procédures de gestion des données.,,,
Questions,"Pour toute question concernant les données, veuillez envoyer un courriel à stephanie.nelson@canada.ca et mentionner « Étude de la réaction des invertébrés benthiques des cours d’eau à la récolte des arbres : Étude du bassin versant des lacs Turkey »",,,
,,,,
Notes,Un dictionnaire des données est fourni ci-dessous pour les définitions des en-têtes de colonne et des unités pour chaque fiche de données.,,,
Notes,Les méthodes de laboratoire et les limites de détection pour chaque mesure sont fournies sous le dictionnaire de données.,,,
Notes,"Les arbres ont été récoltés au cours de l’été 1997. Les zones tampons riveraines ont été supprimées à des fins expérimentales; la prescription était de récolter de manière sélective jusqu’au bord du cours d’eau, mais aucune machine n’était autorisée à circuler à moins de 3 mètres des canaux. Le bassin versant 31 a fait l’objet d’une coupe à diamètre limité de forte intensité (tous les arbres de plus de 20 centimètres ont été abattus puis ébranchés et enlevés; tous les arbres de 10 à 20 centimètres de diamètre ont été abattus) (extraction moyenne de la surface terrière de 89 %); le bassin versant 33 a fait l’objet d’une coupe sélective de faible intensité (extraction moyenne de la surface terrière de 29 %); le bassin versant 34U a fait l’objet d’une coupe progressive d’intensité moyenne (extraction moyenne de 42 %); le bassin versant 34L a fait l’objet d’une coupe à diamètre limite d’intensité élevée (extraction moyenne de la surface terrière de 89 %) (34U, 34M et 34L font partie du même bassin versant; 34L est situé en dessous de la route menant à Norburg; 34M et 34L sont contigus au-dessus de la route; 34M va de la route à 310 mètres en amont et 34U commence à 320 mètres).",,,
Notes,Les bassins versants de référence non exploités étaient 32; 37; 38; 39; 42; 60; 96; 97; 98; 99 (99U est au-dessus de la route et 99L est en dessous de la route. 99UU et 99UL sont respectivement plus en amont de 99U); 100; 101; 102; NC (Norburg Creek; NCU est supérieur et NCL est inférieur).,,,
Notes,"Le bassin versant 42 a été établi comme site de référence mais en raison des activités de construction de routes en 1997, un autre bassin versant de référence 97 a été établi en 1998.",,,
Notes,"Les données de densité des invertébrés peuvent être converties en données de comptage en multipliant toutes les valeurs par 0,33 mètre carré (la surface du filet Surber).",,,
Notes,Les données sur la densité des invertébrés comprennent les insectes de premier stade et les insectes brisés.,,,
Notes,Les invertébrés ont été identifiés au niveau du genre lorsque cela était possible et les informations de classification ont été obtenues à l’aide de numéros de série taxonomique (TSN) pour interroger le Système d’information taxonomique intégré (SITI) (consulté le 6 octobre 2021; www.itis.gov).,,,
Notes,L’identité taxonomique de la sous-famille Chloroperlinae contient des données pour les genres Suwalia et Sweltsa.,,,
Notes,L’identité taxonomique de la classe Clitellata a remplacé les noms taxonomiques invalides Oligochaeta et Hirundea (Système d’information taxonomique intégré; consulté le 26 août 2021; www.itis.gov).,,,
Notes,L’identité taxonomique du genre Heterocloeon a remplacé le nom taxonomique invalide Baetis amplus qui ne fait plus partie des genres Baetis (Système d’information taxonomique intégré; consulté le 26 août 2021; www.itis.gov).,,,
Notes,"Des disques foliaires ont été placés dans des cours d’eau pour mesurer la décomposition par les microbes. Dix disques ont été placés dans un sac à mailles de 500 microns et ancrés dans le cours d’eau pour un seul réplicat. Les disques foliaires étaient soit ancrés dans le cours d’eau (en surface), soit ancrés et enfouis à 1 centimètre sous la surface du lit du cours d’eau (enterrés). Cinq à huit réplicats ont été placés par bassin versant.",,,
