catchment,year,replicate,position,date_in,date_out,daysout_number,initialmass_g,massloss_g
99UL,2003,1,buried,2003-09-08,2003-11-13,66,2.0584,0.5069
99UL,2003,4,surface,2003-09-08,2003-11-13,66,2.0759,0.8409
99UL,2003,2,buried,2003-09-08,2003-11-13,66,2.058,0.1673
99UL,2003,3,surface,2003-09-08,2003-11-13,66,2.0332,0.4267
99UL,2003,1,surface,2003-09-08,2003-11-13,66,2.0509,0.8216
99UL,2003,3,buried,2003-09-08,2003-11-13,66,1.9679,0.6379
99UL,2003,2,buried,2003-09-08,2003-11-13,66,2.0566,0.5648
99UL,2003,4,surface,2003-09-08,2003-10-16,38,2.0488,0.7907
99UL,2003,4,surface,2003-09-08,2003-10-16,38,2.0043,0.2817
99UL,2003,3,buried,2003-09-08,2003-10-16,38,2.0477,0.4504
99UL,2003,4,surface,2003-09-08,2003-10-16,38,2.0438,0.5236
99UL,2003,4,buried,2003-09-08,2003-10-16,38,2.0139,0.4993
99UL,2003,2,surface,2003-09-08,2003-10-16,38,1.9837,0.1724
99UL,2003,3,buried,2003-09-08,2003-10-16,38,2.0509,0.3221
99UL,2003,2,buried,2003-09-08,2003-10-16,38,2.0483,0.1536
99UL,2003,2,surface,2003-09-08,2003-10-02,24,2.0073,0.4815
99UL,2003,2,buried,2003-09-08,2003-10-02,24,2.0234,0.3369
99UL,2003,1,buried,2003-09-08,2003-10-02,24,1.987,NA
99UL,2003,1,surface,2003-09-08,2003-10-02,24,1.9945,0.3144
99UL,2003,4,buried,2003-09-08,2003-10-02,24,2.0151,0.3619
99UL,2003,4,buried,2003-09-08,2003-10-02,24,2.019,0.1832
99UL,2003,3,surface,2003-09-08,2003-10-02,24,1.999,0.2227
99UL,2003,4,surface,2003-09-08,2003-10-02,24,1.9813,0.3764
99UL,2003,1,buried,2003-09-08,2003-10-30,52,2.056,0.4633
99UL,2003,4,buried,2003-09-08,2003-10-30,52,2.0102,0.5005
99UL,2003,3,buried,2003-09-08,2003-10-30,52,2.0125,0.4970
99UL,2003,3,surface,2003-09-08,2003-10-30,52,2.0497,0.6967
99UL,2003,1,buried,2003-09-08,2003-10-30,52,2.0199,0.3606
99UL,2003,3,surface,2003-09-08,2003-10-30,52,2.0167,0.3995
99UL,2003,1,surface,2003-09-08,2003-10-30,52,1.9879,0.4268
99UL,2003,1,surface,2003-09-08,2003-10-30,52,2.0047,0.5535
99UL,2004,2,surface,2004-01-14,2004-02-04,21,1.9871,0.2550
99UL,2004,4,surface,2004-01-14,2004-02-04,21,1.9937,0.3471
99UL,2004,6,surface,2004-01-14,2004-02-04,21,1.9798,0.4869
99UL,2004,8,surface,2004-01-14,2004-02-04,21,1.9724,0.3480
99UL,2004,1,surface,2004-01-14,2004-02-23,40,2.0809,0.6048
99UL,2004,3,surface,2004-01-14,2004-02-23,40,2.0817,0.4352
99UL,2004,5,surface,2004-01-14,2004-02-23,40,2.0136,0.3053
99UL,2004,7,surface,2004-01-14,2004-02-23,40,2.0049,0.3064
99UL,2004,2,surface,2004-01-14,2004-03-08,54,1.9938,0.2089
99UL,2004,4,surface,2004-01-14,2004-03-08,54,1.9756,1.0184
99UL,2004,6,surface,2004-01-14,2004-03-08,54,2.0026,0.4563
99UL,2004,8,surface,2004-01-14,2004-03-08,54,2.0232,0.3193
99UL,2004,1,surface,2004-01-14,2004-03-22,68,2.0266,0.6149
99UL,2004,3,surface,2004-01-14,2004-03-22,68,2.0828,0.7736
99UL,2004,5,surface,2004-01-14,2004-03-22,68,1.9489,0.7725
99UL,2004,7,surface,2004-01-14,2004-03-22,68,2.0416,0.8695
99UU,2003,3,buried,2003-09-09,2003-11-13,65,2.1222,0.4741
99UU,2003,2,surface,2003-09-09,2003-11-13,65,2.0703,0.4368
99UU,2003,3,surface,2003-09-09,2003-11-13,65,2.0743,0.7655
99UU,2003,4,surface,2003-09-09,2003-11-13,65,2.0399,0.5756
99UU,2003,1,buried,2003-09-09,2003-11-13,65,2.0926,0.5582
99UU,2003,2,buried,2003-09-09,2003-11-13,65,2.0768,0.4862
99UU,2003,2,buried,2003-09-09,2003-11-13,65,2.0724,0.6969
99UU,2003,4,surface,2003-09-09,2003-11-13,65,2.077,0.4284
99UU,2003,1,surface,2003-09-09,2003-10-16,37,1.9928,0.2454
99UU,2003,4,buried,2003-09-09,2003-10-16,37,2.0575,0.2992
99UU,2003,1,buried,2003-09-09,2003-10-16,37,2.0543,0.5385
99UU,2003,1,buried,2003-09-09,2003-10-16,37,2.0563,0.2473
99UU,2003,1,buried,2003-09-09,2003-10-16,37,2.0507,0.2786
99UU,2003,1,surface,2003-09-09,2003-10-16,37,2.0797,0.4484
99UU,2003,2,surface,2003-09-09,2003-10-16,37,2.0036,0.4957
99UU,2003,4,surface,2003-09-09,2003-10-16,37,2.0355,0.3517
99UU,2003,3,buried,2003-09-09,2003-10-02,23,2.0172,0.2848
99UU,2003,2,buried,2003-09-09,2003-10-02,23,2.0543,0.2160
99UU,2003,4,buried,2003-09-09,2003-10-02,23,2.0568,0.1942
99UU,2003,2,buried,2003-09-09,2003-10-02,23,1.9639,0.2980
99UU,2003,2,surface,2003-09-09,2003-10-02,23,1.9905,0.3303
99UU,2003,4,surface,2003-09-09,2003-10-02,23,2.0981,0.2944
99UU,2003,3,surface,2003-09-09,2003-10-02,23,2.0335,0.1540
99UU,2003,4,surface,2003-09-09,2003-10-02,23,2.0053,0.2075
99UU,2003,3,surface,2003-09-09,2003-10-30,51,1.9833,0.4728
99UU,2003,3,buried,2003-09-09,2003-10-30,51,2.0249,0.5190
99UU,2003,3,buried,2003-09-09,2003-10-30,51,2.0373,0.5228
99UU,2003,2,surface,2003-09-09,2003-10-30,51,2.1036,0.5056
99UU,2003,1,surface,2003-09-09,2003-10-30,51,2.0632,0.6751
99UU,2003,4,buried,2003-09-09,2003-10-30,51,2.0708,0.2871
99UU,2003,3,surface,2003-09-09,2003-10-30,51,2.0337,0.4896
99UU,2004,2,surface,2004-01-14,2004-02-04,21,1.9319,0.2456
99UU,2004,4,surface,2004-01-14,2004-02-04,21,2.0367,0.2870
99UU,2004,6,surface,2004-01-14,2004-02-04,21,2.0019,0.5202
99UU,2004,8,surface,2004-01-14,2004-02-04,21,1.9936,0.2957
99UU,2004,1,surface,2004-01-14,2004-02-23,40,2.0764,0.5842
99UU,2004,3,surface,2004-01-14,2004-02-23,40,1.978,0.3757
99UU,2004,5,surface,2004-01-14,2004-02-23,40,2.0615,0.3416
99UU,2004,2,surface,2004-01-14,2004-03-08,54,2.0199,0.4668
99UU,2004,4,surface,2004-01-14,2004-03-08,54,1.9738,0.3245
99UU,2004,6,surface,2004-01-14,2004-03-08,54,2.0692,0.3329
99UU,2004,8,surface,2004-01-14,2004-03-08,54,2.0285,0.2411
99UU,2004,1,surface,2004-01-14,2004-03-22,68,1.996,1.0668
99UU,2004,3,surface,2004-01-14,2004-03-22,68,1.9719,0.7252
99UU,2004,5,surface,2004-01-14,2004-03-22,68,2.0182,0.5066
99UU,2004,7,surface,2004-01-14,2004-03-22,68,1.9995,0.4438
