catchment,year,trap_number,date_in,date_out,daysout_number,dryleaf_g,dryother_g,organicleaf_gperm2,organicother_gperm2
33,1996,1,1996-07-27,1996-08-16,21,0.684,1.7559,1.1099,2.9609
33,1996,2,1996-07-27,1996-08-16,21,1.4665,1.7458,2.3796,2.9439
33,1996,3,1996-07-27,1996-08-16,21,1.6872,0.382,2.7377,0.6442
33,1996,4,1996-07-27,1996-08-16,21,1.1847,0.1699,1.9223,0.2865
33,1996,5,1996-07-27,1996-08-16,21,0.8703,0.0769,1.4122,0.1297
33,1996,6,1996-07-27,1996-08-16,21,3.9095,0.4442,6.3437,0.749
33,1996,7,1996-07-27,1996-08-16,21,3.3648,0.8339,5.4599,1.4062
33,1996,8,1996-07-27,1996-08-16,21,1.8148,3.2287,2.9448,5.4445
33,1996,9,1996-07-27,1996-08-16,21,2.6291,0.5801,4.2661,0.9782
33,1996,10,1996-07-27,1996-08-16,21,1.2661,0.4343,2.0544,0.7323
33,1996,1,1996-10-01,1996-10-21,21,79.25,7.2132,128.5943,12.1634
33,1996,2,1996-10-01,1996-10-21,21,101.18,10.5339,164.1789,17.763
33,1996,3,1996-10-01,1996-10-21,21,69.77,18.119,113.2117,30.5536
33,1996,4,1996-10-01,1996-10-21,21,68.42,14.1582,111.0211,23.8746
33,1996,5,1996-10-01,1996-10-21,21,71.82,10.0262,116.5381,16.9069
33,1996,6,1996-10-01,1996-10-21,21,83.29,8.286,135.1498,13.9725
33,1996,7,1996-10-01,1996-10-21,21,67.59,8.7308,109.6743,14.7225
33,1996,8,1996-10-01,1996-10-21,21,91.24,12.6069,148.0498,21.2587
33,1996,9,1996-10-01,1996-10-21,21,72.23,16.5464,117.2034,27.9018
33,1996,10,1996-10-01,1996-10-21,21,90.29,7.59,146.5083,12.7988
33,1996,1,1996-09-07,1996-09-27,21,14.8334,0.8119,24.0693,1.3691
33,1996,2,1996-09-07,1996-09-27,21,12.0602,1,19.5694,1.6863
33,1996,3,1996-09-07,1996-09-27,21,8.6072,4.0771,13.9664,6.8751
33,1996,4,1996-09-07,1996-09-27,21,5.9418,0.1784,9.6414,0.3008
33,1996,5,1996-09-07,1996-09-27,21,9.1185,3.0934,14.7961,5.2163
