catchment,year,tube_number,date_in,date_out,daysout_number,inorganic_g,organic_g,inorganic_gperm2,organic_gperm2
34L,1997,1,1997-08-19,1997-11-13,86,1.1478,0.1536,1866.3228000000017,249.75359999999992
34L,1997,2,1997-08-19,1997-11-13,86,NA,NA,NA,NA
34L,1997,3,1997-08-19,1997-11-13,86,1.5542,0.2432,2527.129199999996,395.4431999999976
34L,1997,4,1997-08-19,1997-11-13,86,NA,NA,NA,NA
34L,1997,5,1997-08-19,1997-11-13,86,NA,NA,NA,NA
34L,1997,6,1997-08-19,1997-11-13,86,NA,NA,NA,NA
34L,1997,7,1997-08-19,1997-11-13,86,10.3740,0.2774,16868.12400000001,451.0523999999915
34L,1997,8,1997-08-19,1997-11-13,86,4.2750,0.1596,6951.150000000003,259.50959999999884
34L,1997,9,1997-08-19,1997-11-13,86,2.6372,0.1976,4288.0871999999945,321.2976000000058
34L,1997,10,1997-08-19,1997-11-13,86,NA,NA,NA,NA
34L,1998,1,1998-04-28,1998-07-20,83,1.4367,0.1569,2336.0742,255.1193999999997
34L,1998,2,1998-04-28,1998-07-20,83,5.7408,0.2864,9334.5408,465.68640000000073
34L,1998,3,1998-04-28,1998-07-20,83,3.4346,0.2312,5584.659599999999,375.9312000000005
34L,1998,4,1998-04-28,1998-07-20,83,4.7958,0.5624,7797.9708,914.4624000000003
34L,1998,5,1998-04-28,1998-07-20,83,1.3139,0.1762,2136.4013999999997,286.5012000000002
34L,1998,6,1998-04-28,1998-07-20,83,1.5890,0.1631,2583.714,265.2006
34L,1998,7,1998-04-28,1998-07-20,83,2.3194,0.1708,3771.3444000000004,277.7207999999997
34L,1998,8,1998-04-28,1998-07-20,83,4.0366,0.2400,6563.465142857144,390.239999999999
34L,1998,9,1998-04-28,1998-07-20,83,6.8952,0.2216,11211.595199999998,360.32160000000073
34L,1998,10,1998-04-28,1998-07-20,83,1.6200,0.0812,2634.1199999999994,132.0311999999999
34L,1998,1,1998-04-28,1998-07-20,83,0.4505,0.1228,732.5129999999998,199.6728000000004
